159,216,	0.14285714285714285,0.014492753623188406,
353,216,	0.16666666666666666,0.03768115942028986,
110,216,	0.3404255319148936,0.0463768115942029,
116,216,	0.1518987341772152,0.034782608695652174,
347,216,	0.37777777777777777,0.04927536231884058,
396,216,	0.12195121951219512,0.014492753623188406,
213,450,216,	0.15846994535519127,0.08405797101449275,
173,407,216,	0.13852813852813853,0.0927536231884058,
147,111,216,	0.16333333333333333,0.14202898550724638,
136,410,216,	0.273542600896861,0.17681159420289855,
348,403,216,	0.29508196721311475,0.05217391304347826,
353,116,216,	0.4636363636363636,0.14782608695652175,
214,451,216,	0.038321720690699786,0.7333333333333333,
147,72,216,	0.16304347826086957,0.08695652173913043,
147,215,216,	0.20408163265306123,0.057971014492753624,
147,247,216,	0.13761467889908258,0.13043478260869565,
136,215,216,	0.2645739910313901,0.17101449275362318,
42,279,216,	0.032184829059829057,0.6985507246376812,
452,72,216,	0.19047619047619047,0.0927536231884058,
170,410,216,	0.15051020408163265,0.17101449275362318,
452,384,216,	0.15151515151515152,0.08695652173913043,
452,247,216,	0.19491525423728814,0.2,
173,384,216,	0.12440191387559808,0.07536231884057971,
309,403,216,	0.1111111111111111,0.020289855072463767,
82,319,216,	0.07952622673434856,0.13623188405797101,
10,384,216,	0.10576923076923077,0.12753623188405797,
309,111,216,	0.11830357142857142,0.7681159420289855,
452,215,216,	0.28932038834951457,0.4318840579710145,
371,134,216,	0.1430817610062893,0.263768115942029,
136,111,216,	0.23948220064724918,0.2144927536231884,
309,373,216,	0.14705882352941177,0.07246376811594203,
173,410,216,	0.253028263795424,0.5449275362318841,
309,215,216,	0.11618257261410789,0.08115942028985507,
348,384,216,	0.11330049261083744,0.13333333333333333,
56,293,216,	0.026475526281802917,0.5942028985507246,
211,448,216,	0.17123287671232876,0.14492753623188406,
348,373,216,	0.2077922077922078,0.1855072463768116,
309,247,216,	0.152,0.16521739130434782,
170,111,216,	0.13841368584758942,0.2579710144927536,
85,322,216,	0.10178117048346055,0.11594202898550725,
84,321,216,	0.022717622080679404,0.3101449275362319,
1,238,216,	0.15555555555555556,0.12173913043478261,
173,215,216,	0.233201581027668,0.17101449275362318,
347,110,216,	0.9,0.13043478260869565,
348,407,216,	0.12219959266802444,0.17391304347826086,
327,325,216,	0.06410570100318082,0.7594202898550725,
309,384,216,	0.11377245508982035,0.11014492753623188,
225,462,216,	0.11876075731497418,0.2,
348,247,216,	0.1487603305785124,0.2608695652173913,
452,111,216,	0.2493573264781491,0.2811594202898551,
10,72,216,	0.1519434628975265,0.1246376811594203,
310,312,216,	0.06560376372190277,0.7275362318840579,
166,72,216,	0.12280701754385964,0.020289855072463767,
136,72,216,	0.11173184357541899,0.057971014492753624,
348,111,216,	0.1324110671936759,0.7768115942028986,
88,111,216,	0.091683038637852,0.4057971014492754,
56,109,216,	0.06622088006902502,0.8898550724637682,
58,279,216,	0.03161239078633837,0.5768115942028985,
348,72,216,	0.1014218009478673,0.6202898550724638,
166,403,216,	0.38596491228070173,0.19130434782608696,	1.0,1.0,
235,472,216,	0.09830508474576272,0.42028985507246375,
10,247,216,	0.20408163265306123,0.5217391304347826,
235,295,216,	0.08502024291497975,0.24347826086956523,
147,410,216,	0.2392638036809816,0.11304347826086956,
75,73,216,	0.06263135771332493,0.4318840579710145,
346,293,216,	0.05103711790393013,0.5420289855072464,
452,410,216,	0.26666666666666666,0.20869565217391303,
136,384,216,	0.22549019607843138,0.06666666666666667,
371,72,216,	1.0,0.002898550724637681,
154,391,216,	0.025407478427612654,0.4608695652173913,
310,73,216,	0.05244523124585085,0.6869565217391305,
5,242,216,	0.03179409538228615,0.48695652173913045,
75,312,216,	0.07606589147286821,0.45507246376811594,
88,90,216,	0.0718096019696348,0.5072463768115942,
185,422,216,	0.08970099667774087,0.0782608695652174,
136,247,216,	0.2608695652173913,0.1391304347826087,
201,438,216,	0.029411764705882353,0.02608695652173913,
173,247,216,	0.16720257234726688,0.15072463768115943,
10,407,216,	0.5,0.005797101449275362,
353,353,216,	0.43564356435643564,0.12753623188405797,
309,134,216,	0.1111111111111111,0.002898550724637681,
10,215,216,	0.18618618618618618,0.17971014492753623,
278,41,216,	0.15966386554621848,0.22028985507246376,
327,90,216,	0.0659569544087017,0.8260869565217391,	0.013333333333333334,1.0,
147,384,216,	0.2174721189591078,0.3391304347826087,
346,109,216,	0.07893192488262911,0.7797101449275362,	0.029411764705882353,1.0,
216,453,216,	0.03255340793489318,0.0927536231884058,
170,247,216,	0.25,0.005797101449275362,
14,251,216,	0.18691588785046728,0.057971014492753624,
348,410,216,	0.15813598166539344,0.6,
116,116,216,	0.4230769230769231,0.12753623188405797,
309,407,216,	0.23809523809523808,0.014492753623188406,
173,111,216,	0.16334283000949668,0.4985507246376812,
10,373,216,	0.273224043715847,0.14492753623188406,
348,325,216,	0.08259212198221093,0.18840579710144928,
348,215,216,	0.2073170731707317,0.2463768115942029,
110,347,216,	0.875,0.12173913043478261,
158,395,216,	0.12886597938144329,0.07246376811594203,
309,72,216,	0.08669897684437264,0.9333333333333333,	0.034482758620689655,1.0,
136,373,216,	0.3177083333333333,0.3536231884057971,
10,410,216,	0.21262458471760798,0.1855072463768116,
173,373,216,	0.2621359223300971,0.1565217391304348,
452,373,216,	0.2863247863247863,0.19420289855072465,
10,111,216,	0.17546848381601363,0.2985507246376812,
123,360,216,	0.14093959731543623,0.12173913043478261,
116,353,216,	0.46153846153846156,0.1391304347826087,
309,410,216,	0.14082599864590387,0.6028985507246377,
159,396,216,	0.723404255319149,0.09855072463768116,
166,111,216,	0.2978723404255319,0.04057971014492753,
170,407,216,	0.1346444780635401,0.5159420289855072,	0.03571428571428571,1.0,
147,373,216,	0.3050847457627119,0.05217391304347826,
88,325,216,	0.07128240109140518,0.6057971014492753,
173,72,216,	0.1284080914687775,0.42318840579710143,
170,72,216,	0.2608695652173913,0.017391304347826087,
42,295,216,	0.03788839568801522,0.6927536231884058,
58,295,216,	0.039679437060203285,0.5884057971014492,
58,472,216,	0.09446254071661238,0.25217391304347825,
