51,168,	0.3897338403041825,0.9534883720930233,
51,405,	0.3931297709923664,0.958139534883721,
121,358,51,	0.1429864253393665,0.7348837209302326,
268,31,51,	0.1111111111111111,0.013953488372093023,
304,67,51,	0.021321961620469083,0.046511627906976744,
315,78,51,	0.029411764705882353,0.009302325581395349,
349,112,51,	0.058823529411764705,0.013953488372093023,
51,405,405,	0.23491027732463296,0.6697674418604651,
372,135,51,	0.020291693088142042,0.14883720930232558,
18,255,51,	0.14860681114551083,0.22325581395348837,
51,168,405,	0.24796084828711257,0.7069767441860465,
12,249,51,	0.06306306306306306,0.03255813953488372,
249,12,51,	0.05,0.009302325581395349,
187,424,51,	0.06666666666666667,0.046511627906976744,
51,104,341,	0.09814687714481812,0.6651162790697674,
181,418,51,	0.7045454545454546,0.14418604651162792,
455,218,51,	0.031051517290049402,0.20465116279069767,
390,153,51,	0.07128099173553719,0.3209302325581395,
51,442,205,	0.1658653846153846,0.9627906976744186,
130,367,51,	0.10126582278481013,0.8558139534883721,
465,228,51,	0.09883720930232558,0.7906976744186046,
328,91,51,	0.010283148671156492,0.6604651162790698,
51,405,168,	0.22276422764227644,0.6372093023255814,
51,168,168,	0.22764227642276422,0.6511627906976745,
60,297,51,	0.01757188498402556,0.40930232558139534,
460,223,51,	0.049734915425397624,0.9162790697674419,
31,268,51,	0.1,0.013953488372093023,
183,420,51,	0.014865227903644668,0.772093023255814,
83,320,51,	0.034013605442176874,0.046511627906976744,
175,412,51,	0.01808498835016088,0.7581395348837209,
323,86,51,	0.029574861367837338,0.22325581395348837,
141,378,51,	0.060109289617486336,0.05116279069767442,
51,288,51,	0.45785876993166286,0.9348837209302325,
