132,	0.09491525423728814,0.5070422535211268,	0.06903765690376569,0.7333333333333333,
234,	0.25,0.05030181086519115,	0.2,0.06666666666666667,
157,	0.07852437417654809,0.5995975855130785,	0.08348794063079777,0.75,
87,	0.04040404040404041,0.008048289738430584,	0.01818181818181818,0.016666666666666666,
369,	0.09265536723163842,0.4949698189134809,	0.07112970711297072,0.7555555555555555,
471,	0.25,0.05030181086519115,	0.15789473684210525,0.06976744186046512,
394,	0.0782608695652174,0.5975855130784709,	0.066,0.7333333333333333,
324,	0.030303030303030304,0.006036217303822937,
298,	0.8088531187122736,0.8088531187122736,	0.7555555555555555,0.7555555555555555,
132,132,	0.03495778403199526,0.9496981891348089,	0.027867790019442645,0.9555555555555556,
132,234,	0.09581881533101046,0.22132796780684105,	0.07428571428571429,0.21666666666666667,
132,157,	0.03382820001477214,0.9215291750503019,	0.03621730382293763,0.9,
132,87,	0.104,0.07847082494969819,	0.09523809523809523,0.06666666666666667,
132,61,	0.06835205992509363,0.8812877263581489,	0.09227871939736347,0.8166666666666667,
132,369,	0.034741296117585925,0.9416498993963782,	0.02819672131147541,0.9555555555555556,
132,471,	0.05489566613162119,0.3440643863179074,	0.057291666666666664,0.24444444444444444,
132,394,	0.03411878391436854,0.9235412474849095,	0.02824858757062147,0.8888888888888888,
132,324,	0.04584882280049566,0.0744466800804829,	0.024390243902439025,0.06666666666666667,
132,298,	0.06672705314009662,0.8893360160965795,	0.06976744186046512,0.7333333333333333,
36,97,	0.3434343434343434,0.06841046277665996,	0.4375,0.11666666666666667,
36,70,	0.6,0.018108651911468814,	0.3333333333333333,0.016666666666666666,
36,273,	0.08554396423248882,0.5774647887323944,	0.07349081364829396,0.6222222222222222,
36,329,	0.45098039215686275,0.04627766599597585,	0.4,0.044444444444444446,
234,132,	0.06004002668445631,0.36217303822937624,	0.045454545454545456,0.17777777777777778,
234,234,	0.0851063829787234,0.008048289738430584,
234,157,	0.052202283849918436,0.386317907444668,	0.09523809523809523,0.23333333333333334,
234,87,	0.36363636363636365,0.008048289738430584,	0.5,0.016666666666666666,
234,61,	0.14434060228452752,0.2796780684104628,	0.17391304347826086,0.13333333333333333,
