344,176,	0.059602649006622516,0.06569343065693431,	0.059602649006622516,0.06569343065693431,
248,176,	0.06779661016949153,0.029197080291970802,	0.06779661016949153,0.029197080291970802,
414,176,	0.23333333333333334,0.051094890510948905,	0.23333333333333334,0.051094890510948905,
2,176,	0.06504065040650407,0.058394160583941604,	0.06504065040650407,0.058394160583941604,
107,176,	0.05442176870748299,0.058394160583941604,	0.05442176870748299,0.058394160583941604,
11,176,	0.08,0.029197080291970802,	0.08,0.029197080291970802,
52,176,	0.21428571428571427,0.021897810218978103,	0.21428571428571427,0.021897810218978103,
239,176,	0.12162162162162163,0.06569343065693431,	0.12162162162162163,0.06569343065693431,
249,176,	0.07518796992481203,0.072992700729927,	0.07518796992481203,0.072992700729927,
306,176,	0.17142857142857143,0.043795620437956206,	0.17142857142857143,0.043795620437956206,
12,176,	0.06993006993006994,0.072992700729927,	0.06993006993006994,0.072992700729927,
31,176,	0.027472527472527472,0.0364963503649635,	0.027472527472527472,0.0364963503649635,
226,176,	0.04,0.0072992700729927005,	0.04,0.0072992700729927005,
112,176,	0.03787878787878788,0.10948905109489052,	0.03787878787878788,0.10948905109489052,
349,176,	0.038461538461538464,0.10948905109489052,	0.038461538461538464,0.10948905109489052,
177,176,	0.23333333333333334,0.051094890510948905,	0.23333333333333334,0.051094890510948905,
289,176,	0.2,0.021897810218978103,	0.2,0.021897810218978103,
69,176,	0.17142857142857143,0.043795620437956206,	0.17142857142857143,0.043795620437956206,
19,176,	0.08333333333333333,0.014598540145985401,	0.08333333333333333,0.014598540145985401,
463,176,	0.047619047619047616,0.0072992700729927005,	0.047619047619047616,0.0072992700729927005,
256,176,	0.07692307692307693,0.014598540145985401,	0.07692307692307693,0.014598540145985401,
268,176,	0.026455026455026454,0.0364963503649635,	0.026455026455026454,0.0364963503649635,
12,344,176,	0.09505703422053231,0.18248175182481752,	0.09505703422053231,0.18248175182481752,
11,107,176,	0.1,0.12408759124087591,	0.1,0.12408759124087591,
404,167,176,	0.022066738428417654,0.29927007299270075,	0.021654636313159357,0.2846715328467153,
249,12,176,	0.13810741687979539,0.39416058394160586,	0.13810741687979539,0.39416058394160586,
177,414,176,	0.3404255319148936,0.11678832116788321,	0.3404255319148936,0.11678832116788321,
349,306,176,	0.04487179487179487,0.051094890510948905,	0.04487179487179487,0.051094890510948905,
268,249,176,	0.019553072625698324,0.051094890510948905,	0.019553072625698324,0.051094890510948905,
349,107,176,	0.027649769585253458,0.13138686131386862,	0.027692307692307693,0.13138686131386862,
111,31,176,	0.05,0.014598540145985401,	0.05,0.014598540145985401,
310,73,176,	0.125,0.0072992700729927005,
268,349,176,	0.060209424083769635,0.3357664233576642,	0.060209424083769635,0.3357664233576642,
2,349,176,	0.04,0.014598540145985401,	0.04,0.014598540145985401,
11,248,176,	0.22727272727272727,0.21897810218978103,	0.22727272727272727,0.21897810218978103,
2,344,176,	0.3333333333333333,0.0072992700729927005,	0.3333333333333333,0.0072992700729927005,
344,248,176,	0.10059171597633136,0.12408759124087591,	0.10059171597633136,0.12408759124087591,
112,239,176,	0.06,0.021897810218978103,	0.06,0.021897810218978103,
344,249,176,	0.09486166007905138,0.17518248175182483,	0.09486166007905138,0.17518248175182483,
2,2,176,	0.04405286343612335,0.072992700729927,	0.04405286343612335,0.072992700729927,
112,349,176,	0.05091649694501019,0.5474452554744526,	0.050951086956521736,0.5474452554744526,
72,452,176,	0.06896551724137931,0.058394160583941604,	0.06521739130434782,0.043795620437956206,
249,2,176,	0.12962962962962962,0.051094890510948905,	0.12962962962962962,0.051094890510948905,
31,107,176,	0.027777777777777776,0.058394160583941604,	0.027777777777777776,0.058394160583941604,
107,69,176,	0.20689655172413793,0.08759124087591241,	0.20689655172413793,0.08759124087591241,
239,112,176,	0.0784313725490196,0.029197080291970802,	0.0784313725490196,0.029197080291970802,
23,260,176,	0.11386138613861387,0.1678832116788321,	0.08808290155440414,0.12408759124087591,
