428,232,	1.0,0.6909340659340659,	1.0,0.6909340659340659,
87,232,	1.0,0.019230769230769232,	1.0,0.019230769230769232,
331,232,	0.1111111111111111,0.0013736263736263737,	0.1111111111111111,0.0013736263736263737,
324,232,	0.9333333333333333,0.019230769230769232,	0.9333333333333333,0.019230769230769232,
416,232,	1.0,0.7129120879120879,	1.0,0.7129120879120879,
94,232,	0.09090909090909091,0.0013736263736263737,	0.09090909090909091,0.0013736263736263737,
179,232,	1.0,0.7129120879120879,	1.0,0.7129120879120879,
191,232,	1.0,0.6909340659340659,	1.0,0.6909340659340659,
27,232,	0.15384615384615385,0.0027472527472527475,	0.15384615384615385,0.0027472527472527475,
264,232,	0.18181818181818182,0.0027472527472527475,	0.18181818181818182,0.0027472527472527475,
179,331,232,	0.25,0.0013736263736263737,	0.25,0.0013736263736263737,
124,361,232,	0.09780564263322884,0.6428571428571429,	0.26582278481012656,0.057692307692307696,
43,280,232,	0.09792442788717402,0.5054945054945055,	0.4473684210526316,0.023351648351648352,
59,296,232,	0.07978374836173001,0.6689560439560439,	0.07986852917009038,0.6675824175824175,
187,424,232,	0.15931372549019607,0.08928571428571429,	0.15931372549019607,0.08928571428571429,
331,428,232,	0.14285714285714285,0.0013736263736263737,	0.14285714285714285,0.0013736263736263737,
428,331,232,	0.25,0.0013736263736263737,	0.25,0.0013736263736263737,
207,427,232,	0.05454545454545454,0.016483516483516484,	0.05454545454545454,0.016483516483516484,
389,152,232,	0.0739636954754809,0.75,	0.06265256305939788,0.10576923076923077,
94,191,232,	0.1,0.0013736263736263737,	0.1,0.0013736263736263737,
94,244,232,	0.023255813953488372,0.004120879120879121,	0.023255813953488372,0.004120879120879121,
191,416,232,	1.0,0.5686813186813187,	1.0,0.5686813186813187,
443,206,232,	0.0824332006822058,0.19917582417582416,	0.058394160583941604,0.054945054945054944,
7,138,232,	0.18415300546448088,0.46291208791208793,	0.1849615806805708,0.46291208791208793,
207,138,232,	0.1287375415282392,0.6387362637362637,	0.129023307436182,0.6387362637362637,
118,355,232,	0.051587301587301584,0.17857142857142858,
375,138,232,	0.030933880662659435,0.8695054945054945,	0.030933880662659435,0.8695054945054945,
101,338,232,	0.07960965588084232,0.2129120879120879,	0.07960965588084232,0.2129120879120879,
331,331,232,	0.7272727272727273,0.01098901098901099,	0.7272727272727273,0.01098901098901099,
