39,	0.032,0.03007518796992481,	0.032,0.03007518796992481,
331,150,	0.5,0.007518796992481203,	0.5,0.007518796992481203,
461,200,	0.05825242718446602,0.09022556390977443,	0.06030150753768844,0.09022556390977443,
200,375,	0.042105263157894736,0.03007518796992481,	0.042105263157894736,0.03007518796992481,
200,25,	0.022988505747126436,0.015037593984962405,	0.022988505747126436,0.015037593984962405,
408,200,	0.16666666666666666,0.015037593984962405,	0.16666666666666666,0.015037593984962405,
399,200,	0.09523809523809523,0.015037593984962405,	0.09523809523809523,0.015037593984962405,
138,437,	0.021052631578947368,0.015037593984962405,	0.021052631578947368,0.015037593984962405,
357,200,	0.16666666666666666,0.015037593984962405,	0.16666666666666666,0.015037593984962405,
94,171,	0.01020408163265306,0.015037593984962405,	0.01020408163265306,0.015037593984962405,
138,262,	0.028985507246376812,0.03007518796992481,	0.028985507246376812,0.03007518796992481,
200,224,	0.024291497975708502,0.045112781954887216,	0.02531645569620253,0.045112781954887216,
138,171,	0.025974025974025976,0.03007518796992481,	0.025974025974025976,0.03007518796992481,
200,94,	0.047244094488188976,0.045112781954887216,	0.047244094488188976,0.045112781954887216,
94,200,	0.26525198938992045,0.7518796992481203,	0.26525198938992045,0.7518796992481203,
138,461,	0.016172506738544475,0.045112781954887216,	0.01639344262295082,0.045112781954887216,
331,200,	0.25925925925925924,0.7368421052631579,	0.25925925925925924,0.7368421052631579,
138,120,	0.10256410256410256,0.03007518796992481,	0.10256410256410256,0.03007518796992481,
138,224,	0.015915119363395226,0.045112781954887216,	0.016304347826086956,0.045112781954887216,
94,150,	0.5,0.007518796992481203,	0.5,0.007518796992481203,
120,200,	0.014778325123152709,0.022556390977443608,	0.014778325123152709,0.022556390977443608,
25,200,	0.06578947368421052,0.03759398496240601,	0.06578947368421052,0.03759398496240601,
262,200,	0.06666666666666667,0.03759398496240601,	0.06666666666666667,0.03759398496240601,
467,200,	0.18181818181818182,0.015037593984962405,	0.18181818181818182,0.015037593984962405,
162,200,	0.0125,0.022556390977443608,	0.0125,0.022556390977443608,
200,331,	0.047244094488188976,0.045112781954887216,	0.047244094488188976,0.045112781954887216,
224,200,	0.06,0.09022556390977443,	0.06217616580310881,0.09022556390977443,
200,461,	0.025210084033613446,0.045112781954887216,	0.02631578947368421,0.045112781954887216,
200,262,	0.030303030303030304,0.015037593984962405,	0.030303030303030304,0.015037593984962405,
138,200,	0.06666666666666667,0.03007518796992481,	0.06666666666666667,0.03007518796992481,
34,271,200,	0.02125,0.2556390977443609,
446,209,200,	0.04585152838427948,0.15789473684210525,	0.05649717514124294,0.15037593984962405,
420,18,200,	0.02,0.007518796992481203,	0.02702702702702703,0.007518796992481203,
200,437,375,	0.02258064516129032,0.05263157894736842,	0.02258064516129032,0.05263157894736842,
94,437,200,	0.0182648401826484,0.03007518796992481,	0.0182648401826484,0.03007518796992481,
200,331,200,	0.19148936170212766,0.06766917293233082,	0.19148936170212766,0.06766917293233082,
375,138,200,	0.010877088895481064,0.8270676691729323,	0.010877088895481064,0.8270676691729323,
331,162,200,	0.03508771929824561,0.07518796992481203,	0.03508771929824561,0.07518796992481203,
420,183,200,	0.08924205378973105,0.5488721804511278,	0.12203389830508475,0.5413533834586466,
129,366,200,	0.019667170953101363,0.2932330827067669,	0.019677093844601413,0.2932330827067669,
94,94,200,	0.14543269230769232,0.9097744360902256,	0.14543269230769232,0.9097744360902256,
94,162,200,	0.030716723549488054,0.06766917293233082,	0.030716723549488054,0.06766917293233082,
297,60,200,	1.0,0.18796992481203006,	1.0,0.17293233082706766,
94,375,200,	0.014483212639894667,0.16541353383458646,	0.014483212639894667,0.16541353383458646,
138,162,200,	0.5660377358490566,0.22556390977443608,	0.5660377358490566,0.22556390977443608,
426,189,200,	0.014443909484833895,0.22556390977443608,	0.018952618453865335,0.2857142857142857,
165,366,200,	0.026575550493545937,0.2631578947368421,	0.026717557251908396,0.2631578947368421,
78,315,200,	0.26666666666666666,0.24060150375939848,	0.26666666666666666,0.24060150375939848,
418,181,200,	0.75,0.09022556390977443,	0.8,0.09022556390977443,
138,230,200,	0.059278350515463915,0.17293233082706766,	0.059278350515463915,0.17293233082706766,
461,224,200,	0.037894736842105266,0.13533834586466165,	0.039045553145336226,0.13533834586466165,
230,467,200,	0.016648168701442843,0.3383458646616541,	0.016648168701442843,0.3383458646616541,
190,427,200,	0.1,0.007518796992481203,	0.1,0.007518796992481203,
199,436,200,	0.021367521367521368,0.22556390977443608,
255,18,200,	1.0,0.05263157894736842,	1.0,0.05263157894736842,
